v2_id,v1_id,name,address
1335,464,Yum Yum,2754 Danforth Street
1336,466,Green Lady,1176 Danforth Ave
1337,468,Madina Pizza (dropped),1078 Danforth Ave
1338,469,The Big Slice Pizza (dropped),385 Yonge St
1339,470,La Bella Managua (dropped),872 Bloor St W
1340,471,Dolmades ( closed for business),460 Bronson Ave
1341,,TCJ Restaurant,64 B Queen St E
1342,473,European Pizza and Shawarma,6-461 Park Rd S
1343,,Chicken\'licious,2789 Danforth Ave
1344,475,Little Saigon ( closed ),"7163, rue Saint-Hubert"
1345,476,Amato (dropped ),429A Yonge St
1346,477,Fat Albert\'s (closed),915 Watters Rd
1347,483,Fat Albert\'s,5303 Canotek Rd
1348,484,Corrado\'s Authentic Italian Cuisine(dropped),471 Cosburn Ave
1349,485,Mackies Burger ( closed for business),460 Bronson Ave
1350,486,New York Pizza & Donair,9715 118 Ave
1351,487,Solymar ( dropped closed),"7610, rue Saint-Hubert"
1352,488,Mekong Restaurant (quit),637 Somerset St W
1353,489,JN Pizza,1663 Cyrville Rd
1354,490,Louis Steak House & Pizza(dropped),1682 Cyrville Rd
1355,492,Chef De La Maison Roti,"1605, rue Dollard"
1356,493,Sushi Style,80 A Dundas St E
1357,,Basha (Monkland),5751 Av de Monkland
1358,,The Portuguese Chicken Guys,898 College St
1359,496,Basha La Jeunesse (dropped),
1360,497,Sushi 930,930 King St W
1361,498,Sushi Xtra,423 Queen Street West
1362,499,One of a Kind Pasta & Grill ( closed ),746 Queen St W
1363,500,Ju Xiang Yuan ( dropped),641 Somerset St W
1364,,Bai Du Sushi,600 Terry Fox Drive
1365,502,Café Saffron,195 Kent St
1366,504,Urban Tandoor,2194 Robertson Rd
1367,505,Ricardo\'s Pizza (dropped),267 Bay St
1368,506,Namaste India ,1300 Bank St
1369,507,Carolina\'s Cuisina,600 Terry Fox Drive
1370,508,I Love Sushi,4944 Dundas St W
1371,509,Thai Plus,354 Rideau St
1372,510,Restaurant Anne (dropped),"2525, rue Provost"
1373,511,Sushi Express Fantasia,886 ch de Chambly
1374,512,Milano,5516 Osgoode Main S
1375,513,Milano,506 Main St W
1376,514,Les Délices d\'Ali,"33, rue Gamelin"
1377,515,Papa Ceo Fine Italian Foods & Pizza (dropped),654 Spadina Ave
1378,516,New Sushi Island,571 College St
1379,517,The Kathi Roll Express - Yonge St,692 Yonge St
1380,,Sushiya,"1950, ch du Fer à Cheval"
1381,519,Wow Sushi,"50, rue Rachel E"
1382,,Tap Tap Express,"1820, ch de Chambly"
1383,521,Boar n Wing (dropped),5164 Dundas St W
1384,523,Miyuki Sushi Bar,"2778, boul Jacques Cartier"
1385,524,La Belle Époque (dropped),"6250, boul Cousineau"
1386,525,Resto Miramar (dropped),"5250, rue Jarry E"
1387,527,Pizza Rive-Sud,"5836, ch de Chambly"
1388,528,Cafe Bistro Ohayo (closed),4905 Boulevard Lapiniere 1700
1389,529,Beer Man and Liquor Lady,123 fake st
1390,530,Sushi Kampai,"37, route 132"
1391,531,Ici Express,5560 boul Grande Allée
1392,532,Xtreme Pizza,125 Preston St
1393,533,Baja Grill,1001 Queen Elizabeth Dr
1394,534,Aji Sushi (DROPPED),"1421, ch Gascon"
1395,535,Milano (closed),11 Windsor Dr
1396,537,303 Fusion Kitchen (dropped),4413 17 Ave SE 
1397,538,Eat-a-Pita (dropped),2-4602 17 Ave SE
1398,539,Reece\'s Pizza,1A-5268 Marlborough Dr NE
