id;course;restaurant;sku;name;ingredients;price;order;quantity;hasCustomisation;ciHeader;minci;maxci;freeci;displayOrderCI;hasSideDish;sideDishHeader;minsd;maxsd;freeSD;displayOrderSD;hasDrinks;drinksHeader;mindrink;maxdrink;freeDrink;displayOrderDrink;hasExtras;extraHeader;minextras;maxextras;freeExtra;displayOrderExtras;isSideDish;showSDInMenu;isDrink;hasBread;breadHeader;displayOrderBread;hasDressing;dressingHeader;mindressing;maxdressing;freeDressing;displayOrderDressing;hasSauce;sauceHeader;minsauce;maxsauce;freeSauce;displayOrderSauce;hasCookMethod;cmHeader;mincm;maxcm;freecm;displayOrderCM;isCombo;useSteps;mincombo;maxcombo;displayOrderCombo;menuType;image;lang;showInMenu;showPizzaIcons;checkoutItems;upsell
10370;1556;127;NULL;"Large 3 Toppings";"1 large 3 toppings pizza, 1Lb wings and 2 x 591ml beverahes.";41.15;3;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;"First Two 591ml Drinks Free";2;0;2;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
11287;1695;172;NULL;"2 Pizza Deal 1 Topping";"2 pizza with 1 topping each. Divide your toppings across your pizza any way you like.";25.60,35.20,40.65;0;"Small x 2,Medium x 2,Large x 2";N;;0;0;0;2;N;;0;0;0;5;N;"First Two 591ml Drinks Free";0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
11288;1695;172;NULL;"2 Pizza Deal 2 Toppings";"2 pizza with 2 topping each. Divide your toppings across your pizza any way you like.";27.10,36.95,43.50;0;"Small x 2,Medium x 2,Large x 2";N;;0;0;0;2;N;;0;0;0;5;N;"First Two 591ml Drinks Free";0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
11289;1695;172;NULL;"2 Pizza Deal 3 Toppings";"2 pizza with 3 topping each. Divide your toppings across your pizza any way you like.";28.35,39.40,46.50;0;"Small x 2,Medium x 2,Large x 2";N;;0;0;0;2;N;;0;0;0;5;N;"First Two 591ml Drinks Free";0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
11290;1694;172;NULL;"Medium Pizza 3 Toppings";"1 medium pizza 3 toppings and 1Lb wings & 2x591ml pop or Aquafina.";37.20;3;;N;;0;0;0;2;N;;0;0;0;5;Y;"First Two 591ml Drinks Free";2;0;2;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
11291;1694;172;NULL;"Large Pizza 3 Toppings";"1 large pizza 3 toppings and 1Lb wings & 2x591ml pop or Aquafina.";41.90;2;;N;;0;0;0;2;N;;0;0;0;5;Y;"First Two 591ml Drinks Free";2;0;2;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
11296;1403;146;NULL;"Large Pizza 3 Toppings";"1 large pizza 3 toppings, 25 chicken wings and 4 cans of Pepsi.";48.70;1;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
11297;1403;146;NULL;"Medium Pizza 3 Toppings";"1 medium pizza 3 toppings, 18 chicken wings and 2 cans of Pepsi.";42.70;2;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
11298;1403;146;NULL;"Small Pizza 3 Toppings";"1 small pizza 3 toppings, 12 chicken wings and 1 can of Pepsi.";24.85;3;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
11299;1403;146;NULL;"2 Large Pizza 3 Toppings";"2 large pizzas 3 toppings, 36 chicken wings and 6 cans of Pepsi.";79.20;4;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
