id,name,type,course,dish,restaurant,lang,useincombo,isglobal
377,Pizza Crust type,br,0,0,104,en,N,N
378,Pizza Toppings,ci,0,0,104,en,N,N
379,Pizza Premium  Toppings,e,0,0,104,en,N,N
380,Nachos Cooking method,cm,0,0,104,en,N,N
381,Spaghetti Mushroom and peppers,ci,0,0,104,en,N,N
382,Salad Dressings,dr,0,0,104,en,N,N
383,Julienne Salad,ci,0,0,104,en,N,N
384,Donair Sub Sauces,sa,0,0,104,en,N,N
385,Platter Extra Bacon,ci,0,0,104,en,N,N
386,Platters Extra Poutine,e,0,0,104,en,N,N
387,Donairs Extra cheese and meat,e,0,0,104,en,N,N
388,No bacon bits,e,0,0,104,en,N,N
389,Burgers and Cheesburgers,ci,0,0,104,en,N,N
390,Chicken Burges,ci,0,0,104,en,N,N
391, Subs Extra,ci,0,0,104,en,N,N
392,Donairs Extra ing,ci,0,0,104,en,N,N
393,Pizza Crust type,br,0,0,105,en,N,N
394,Pizza Toppings,ci,0,0,105,en,N,N
395,Pizza Premium  Toppings,e,0,0,105,en,N,N
396,Nachos Cooking method,cm,0,0,105,en,N,N
397,Spaghetti Mushroom and peppers,ci,0,0,105,en,N,N
398,Salad Dressings,dr,0,0,105,en,N,N
399,Julienne Salad,ci,0,0,105,en,N,N
400,Donair Sub Sauces,sa,0,0,105,en,N,N
401,Platter Extra Bacon,ci,0,0,105,en,N,N
402,Platters Extra Poutine,e,0,0,105,en,N,N
403,Donairs Extra cheese and meat,e,0,0,105,en,N,N
404,No bacon bits,e,0,0,105,en,N,N
405,Burgers and Cheesburgers,ci,0,0,105,en,N,N
406,Chicken Burges,ci,0,0,105,en,N,N
407, Subs Extra,ci,0,0,105,en,N,N
408,Donairs Extra ing,ci,0,0,105,en,N,N
409,Pizza Crust type,br,0,0,106,en,N,N
410,Pizza Toppings,ci,0,0,106,en,N,N
411,Pizza Premium  Toppings,e,0,0,106,en,N,N
412,Nachos Cooking method,cm,0,0,106,en,N,N
413,Spaghetti Mushroom and peppers,ci,0,0,106,en,N,N
414,Salad Dressings,dr,0,0,106,en,N,N
415,Julienne Salad,ci,0,0,106,en,N,N
416,Donair Sub Sauces,sa,0,0,106,en,N,N
417,Platter Extra Bacon,ci,0,0,106,en,N,N
418,Platters Extra Poutine,e,0,0,106,en,N,N
419,Donairs Extra cheese and meat,e,0,0,106,en,N,N
420,No bacon bits,e,0,0,106,en,N,N
421,Burgers and Cheesburgers,ci,0,0,106,en,N,N
422,Chicken Burges,ci,0,0,106,en,N,N
423, Subs Extra,ci,0,0,106,en,N,N
424,Donairs Extra ing,ci,0,0,106,en,N,N
425,Pizza Crust type,br,0,0,107,en,N,N
426,Pizza Toppings,ci,0,0,107,en,N,N
427,Pizza Premium  Toppings,e,0,0,107,en,N,N
428,Nachos Cooking method,cm,0,0,107,en,N,N
429,Spaghetti Mushroom and peppers,ci,0,0,107,en,N,N
430,Salad Dressings,dr,0,0,107,en,N,N
431,Julienne Salad,ci,0,0,107,en,N,N
432,Donair Sub Sauces,sa,0,0,107,en,N,N
433,Platter Extra Bacon,ci,0,0,107,en,N,N
434,Platters Extra Poutine,e,0,0,107,en,N,N
435,Donairs Extra cheese and meat,e,0,0,107,en,N,N
436,No bacon bits,e,0,0,107,en,N,N
437,Burgers and Cheesburgers,ci,0,0,107,en,N,N
438,Chicken Burges,ci,0,0,107,en,N,N
439, Subs Extra,ci,0,0,107,en,N,N
440,Donairs Extra ing,ci,0,0,107,en,N,N
441,Pizza Crust type,br,0,0,108,en,N,N
442,Pizza Toppings,ci,0,0,108,en,N,N
443,Pizza Premium  Toppings,e,0,0,108,en,N,N
444,Nachos Cooking method,cm,0,0,108,en,N,N
445,Spaghetti Mushroom and peppers,ci,0,0,108,en,N,N
446,Salad Dressings,dr,0,0,108,en,N,N
447,Julienne Salad,ci,0,0,108,en,N,N
448,Donair Sub Sauces,sa,0,0,108,en,N,N
449,Platter Extra Bacon,ci,0,0,108,en,N,N
450,Platters Extra Poutine,e,0,0,108,en,N,N
451,Donairs Extra cheese and meat,e,0,0,108,en,N,N
452,No bacon bits,e,0,0,108,en,N,N
453,Burgers and Cheesburgers,ci,0,0,108,en,N,N
454,Chicken Burges,ci,0,0,108,en,N,N
455, Subs Extra,ci,0,0,108,en,N,N
456,Donairs Extra ing,ci,0,0,108,en,N,N
457,Drinks - Can,d,0,0,95,en,N,N
458,Wings Sauces,sa,0,0,95,en,N,N
459,Pizza Dips,sa,0,0,95,en,N,N
460,Deals- Add Bacon,e,0,0,95,en,N,N
461,Pizza Dips,sa,0,0,105,en,N,N
462,Pasta pairs extra cheese,e,0,0,95,en,N,N
463,Pizza Toppings For Deals,ci,0,0,95,en,N,N
464,Pizza Crust type,br,0,0,109,en,N,N
465,Pizza Toppings,ci,0,0,109,en,N,N
466,Pizza Premium  Toppings,e,0,0,109,en,N,N
467,Nachos Cooking method,cm,0,0,109,en,N,N
468,Spaghetti Mushroom and peppers,ci,0,0,109,en,N,N
469,Salad Dressings,dr,0,0,109,en,N,N
470,Julienne Salad,ci,0,0,109,en,N,N
471,Donair Sub Sauces,sa,0,0,109,en,N,N
472,Platter Extra Bacon,ci,0,0,109,en,N,N
473,Platters Extra Poutine,e,0,0,109,en,N,N
474,Donairs Extra cheese and meat,e,0,0,109,en,N,N
475,No bacon bits,e,0,0,109,en,N,N
476,Burgers and Cheesburgers,ci,0,0,109,en,N,N
477,Chicken Burges,ci,0,0,109,en,N,N
478, Subs Extra,ci,0,0,109,en,N,N
479,Donairs Extra ing,ci,0,0,109,en,N,N
480,Drinks - Can,d,0,0,109,en,N,N
481,Wings Sauces,sa,0,0,109,en,N,N
482,Pizza Dips,sa,0,0,109,en,N,N
483,Deals- Add Chicken,e,0,0,109,en,N,N
484,Pasta pairs extra cheese,e,0,0,109,en,N,N
485,Pizza Toppings For Deals,ci,0,0,109,en,N,N
486,Pizza Crust type,br,0,0,110,en,N,N
487,Pizza Toppings,ci,0,0,110,en,N,N
488,Pizza Premium  Toppings,e,0,0,110,en,N,N
489,Nachos Cooking method,cm,0,0,110,en,N,N
490,Spaghetti Mushroom and peppers,ci,0,0,110,en,N,N
491,Salad Dressings,dr,0,0,110,en,N,N
492,Julienne Salad,ci,0,0,110,en,N,N
493,Donair Sub Sauces,sa,0,0,110,en,N,N
494,Platter Extra Bacon,ci,0,0,110,en,N,N
495,Platters Extra Poutine,e,0,0,110,en,N,N
496,Donairs Extra cheese and meat,e,0,0,110,en,N,N
497,No bacon bits,e,0,0,110,en,N,N
498,Burgers and Cheesburgers,ci,0,0,110,en,N,N
499,Chicken Burges,ci,0,0,110,en,N,N
500, Subs Extra,ci,0,0,110,en,N,N
501,Donairs Extra ing,ci,0,0,110,en,N,N
502,Drinks - 335 ml,d,0,0,110,en,N,N
503,Wings Sauces,sa,0,0,110,en,N,N
504,Pizza Dips,sa,0,0,110,en,N,N
505,Deals- Add Bacon,e,0,0,110,en,N,N
506,Pasta pairs extra cheese,e,0,0,110,en,N,N
507,Pizza Toppings For Deals,ci,0,0,110,en,N,N
508,Pizza Crust type,br,0,0,111,en,N,N
509,Pizza Toppings,ci,0,0,111,en,N,N
510,Pizza Premium  Toppings,e,0,0,111,en,N,N
511,Nachos Cooking method,cm,0,0,111,en,N,N
512,Spaghetti Mushroom and peppers,ci,0,0,111,en,N,N
513,Salad Dressings,dr,0,0,111,en,N,N
514,Julienne Salad,ci,0,0,111,en,N,N
515,Donair Sub Sauces,sa,0,0,111,en,N,N
516,Platter Extra Bacon,ci,0,0,111,en,N,N
517,Platters Extra Poutine,e,0,0,111,en,N,N
518,Donairs Extra cheese and meat,e,0,0,111,en,N,N
519,No bacon bits,e,0,0,111,en,N,N
520,Burgers and Cheesburgers,ci,0,0,111,en,N,N
521,Chicken Burges,ci,0,0,111,en,N,N
522, Subs Extra,ci,0,0,111,en,N,N
523,Donairs Extra ing,ci,0,0,111,en,N,N
524,Drinks - Can,d,0,0,111,en,N,N
525,Wings Sauces,sa,0,0,111,en,N,N
526,Pizza Dips,sa,0,0,111,en,N,N
527,Deals- Add Bacon,e,0,0,111,en,N,N
528,Pasta pairs extra cheese,e,0,0,111,en,N,N
529,Pizza Toppings For Deals,ci,0,0,111,en,N,N
530,One Topping Pizza,ci,0,0,95,en,N,N
531,One Topping Pizza,ci,0,0,109,en,N,N
532,One Topping Pizza,ci,0,0,111,en,N,N
533,One Topping Pizza,ci,0,0,110,en,N,N
534,Pizza Toppings,ci,0,0,112,en,N,N
535,Pizza Dips,sa,0,0,112,en,N,N
536,Crust type,br,0,0,112,en,N,N
538,Toppings without premium,ci,0,0,112,en,N,N
539,Noodle Soups Extras,e,0,0,101,en,N,N
540,Vermicelli Extras,e,0,0,101,en,N,N
