ingredient_group_id,ingredient_id,base_price,price_by_size,is_included,display_order
124,1117,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,32
124,1118,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,33
124,1119,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,34
124,1120,,"{""S"": 0.7, ""M"": 1.3, ""L"": 1.5, ""XL"": 2.0}",false,35
124,1142,,"{""S"": 1.5, ""M"": 2.0, ""L"": 2.5, ""XL"": 3.0}",false,36
125,1145,1.5,,false,0
125,1146,2.5,,false,1
126,1084,0.0,,true,0
126,1095,0.0,,true,1
126,1096,0.0,,true,2
126,1097,0.0,,true,3
126,1098,0.0,,true,4
126,1099,0.0,,true,5
126,1100,0.0,,true,6
126,1101,0.0,,true,7
126,1102,0.0,,true,8
126,1094,0.0,,true,9
126,1093,0.0,,true,10
126,1085,0.0,,true,11
126,1086,0.0,,true,12
126,1087,0.0,,true,13
126,1088,0.0,,true,14
126,1089,0.0,,true,15
126,1090,0.0,,true,16
126,1091,0.0,,true,17
126,1092,0.0,,true,18
126,1103,0.0,,true,19
128,1084,0.5,,false,0
128,1095,0.5,,false,1
128,1096,0.5,,false,2
128,1097,0.5,,false,3
128,1098,0.5,,false,4
128,1099,0.5,,false,5
128,1100,0.5,,false,6
128,1101,0.5,,false,7
128,1102,0.5,,false,8
128,1094,0.5,,false,9
128,1093,0.5,,false,10
128,1085,0.5,,false,11
128,1086,0.5,,false,12
128,1087,0.5,,false,13
128,1088,0.5,,false,14
128,1089,0.5,,false,15
128,1090,0.5,,false,16
128,1091,0.5,,false,17
128,1092,0.5,,false,18
128,1103,0.5,,false,19
129,1084,1.25,,false,0
129,1095,1.25,,false,1
129,1096,1.25,,false,2
129,1097,1.25,,false,3
129,1098,1.25,,false,4
129,1099,1.25,,false,5
129,1100,1.25,,false,6
129,1101,1.25,,false,7
129,1102,1.25,,false,8
129,1094,1.25,,false,9
129,1093,1.25,,false,10
129,1085,1.25,,false,11
129,1086,1.25,,false,12
129,1087,1.25,,false,13
129,1088,1.25,,false,14
129,1089,1.25,,false,15
129,1090,1.25,,false,16
129,1091,1.25,,false,17
129,1092,1.25,,false,18
129,1103,1.25,,false,19
130,1148,0.0,,true,0
130,1147,0.0,,true,1
130,1149,0.0,,true,2
131,1152,0.0,,true,0
131,1151,0.0,,true,1
131,1150,0.0,,true,2
132,1153,0.0,,true,0
132,1154,0.0,,true,1
132,1155,0.0,,true,2
133,1151,0.0,,true,0
133,1150,0.0,,true,1
134,1156,0.0,,true,0
134,1157,0.0,,true,1
135,1166,0.0,,true,0
135,1164,0.0,,true,1
135,1162,0.0,,true,2
135,1161,0.0,,true,3
135,1160,0.0,,true,4
135,1159,0.0,,true,5
135,1158,0.0,,true,6
135,1108,0.0,,true,7
135,1116,0.0,,true,8
136,1167,0.99,,false,0
136,1168,0.99,,false,1
137,1169,0.0,,true,0
137,1170,0.0,,true,1
