id,course,restaurant,sku,name
56937,3513,257,,Seafood Deluxe HIDE
56941,3513,257,,Nacho Pizza
56944,3513,257,,Poutine Pizza
56956,7708,577,,Combo 3
56964,7374,577,,2 All Meat Pizzas
56965,7708,577,,Combo 4
56970,7708,577,,Combo 5
56971,7708,577,,Combo 6
57058,7727,601,,2 Pitas
57067,7727,601,,4 Pitas
57227,7757,601,,2 Pitas
57229,7757,601,,4 Pitas
57428,2280,210,,Chicken Shawarma Special
57599,7778,589,,Meal For 1
57600,7778,589,,Meal For 2
57601,7778,589,,Meal For 4
57602,7778,589,,Meal For 6
57643,2862,255,,2 Small Donairs and Wings HIDE
57645,2862,255,,2 Small Halifax Donairs
57648,2862,255,,2 Small Donairs and Garlic Fingers
58127,7708,577,,2 X-Large Pizzas with 5 Toppings
58128,7708,577,,2 Large Pizzas
58129,7708,577,,2 Medium Pizzas
58130,7708,577,,2 X-Large Pizzas with 2 Toppings
58132,7708,577,,2 Medium Pizzas with 3 Toppings
58444,7883,592,,Create Your Own Pizza
58487,7911,618,,2 Panzerottis
58661,7938,614,,2 Vanier Burgers
58716,7481,587,,Poulet Entier
58717,7949,231,,1 Petite Pizza avec 1 Poutine
58718,7949,231,,1 Moyenne Pizza avec 1 Poutine
58719,7949,231,,1 Grande Pizza avec 2 Poutines
58720,7950,231,,1 Petite Pizza et 1 Canette HIDE
58721,7950,231,,1 Moyennes Pizza et 2 Canettes HIDE
58722,7950,231,,1 Grande Pizza et 2 Canettes HIDE
58723,7951,346,,1 Petite Pizza avec 1 Poutine
58724,7951,346,,1 Moyenne Pizza avec 1 Poutine
58725,7951,346,,1 Grande Pizza avec 2 Poutines
58726,7952,346,,1 Petite Pizza et 1 Canette HIDE
58727,7952,346,,1 Moyennes et 1 Canette HIDE
58728,7952,346,,1 Grande Pizza et 2 Canettes HIDE
58758,7962,624,,One Topping  HIDE
58759,7962,624,,Two Toppings HIDE
58760,7962,624,,Three Toppings HIDE
58761,7962,624,,Four Toppings  HIDE
58762,7962,624,,Five Toppings  HIDE
58763,7962,624,,Plain HIDE
58784,7964,624,,Large Pizza
