combo_group_id,combo_rules
101,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
102,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": ""Medium 3 Topping Pizza."", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 toppings free!""}}}"
103,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": ""Large 3 Topping Pizza."", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 toppings free!""}}}"
104,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Donair;2nd Donair""}"
105,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""1st Pizza;2nd Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""First 3 toppings free!""}}}"
107,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
108,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose a soft drink.""}"
109,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
110,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
111,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
112,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
113,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose a dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""How about some extras?""}}}"
114,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""How about some extras?""}}}"
115,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""How about some extras?""}}}"
116,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""How about some extras?""}}}"
117,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""How about some extras?""}}}"
118,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Please choose your dish."", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": ""How about some extras?""}}}"
