"id";"v1_id";"added_by";"added_at";"suspend_operation";"suspended_at";"name";"active";"pending";"updated_at";"updated_by"
1239;353;0;"2016-02-25 08:08:34";"0";0;"Pizza Test";"n";"n";"";0
1240;354;0;"2016-02-25 08:08:34";"0";0;"Istanbouli Shawarma House";"n";"n";"";0
1241;355;0;"2016-02-25 08:08:34";"0";0;"Willy's Pizza (DROPPED)";"n";"n";"";0
1242;356;0;"2016-02-25 08:08:34";"0";0;"Pizza Welat (DROPPED)";"n";"n";"";0
1243;357;0;"2016-02-25 08:08:34";"0";0;"Lees Greek & Pizza";"n";"n";"";0
1244;358;0;"2016-02-25 08:08:34";"0";0;"Greco on Bank";"n";"n";"";0
1245;359;0;"2016-02-25 08:08:34";"0";0;"Pho Tien Phat (dropped)";"n";"n";"";0
1246;360;0;"2016-02-25 08:08:34";"0";0;"Carlsbad Pizza (dropped)";"n";"n";"";0
1247;361;0;"2016-02-25 08:08:34";"0";0;"Express Asian Food (Changed to A Plus sushi)";"n";"n";"";0
1248;362;0;"2016-02-25 08:08:34";"0";0;"2 for 1 Pizza";"n";"n";"";0
1249;364;0;"2016-02-25 08:08:34";"0";0;"La Famiglia Pizza";"n";"n";"";0
1250;365;0;"2016-02-25 08:08:34";"0";0;"Dana's Indian Cuisine";"n";"n";"";0
1251;366;0;"2016-02-25 08:08:34";"0";0;"Old Man Pizza (DROPPED) ";"n";"n";"";0
1252;367;0;"2016-02-25 08:08:34";"0";0;"Willy's Pizza";"n";"n";"";0
1253;368;0;"2016-02-25 08:08:34";"0";0;"Restaurant Da Gunes (DROPPED)";"n";"n";"";0
1254;369;0;"2016-02-25 08:08:34";"0";0;"Tandoori Raj (DROPPED)";"n";"n";"";0
1255;370;0;"2016-02-25 08:08:34";"0";0;"Pizza Crave (DROPPED)";"n";"n";"";0
1256;0;0;"2016-02-25 08:08:34";"0";0;"Ceylonta - Somerset";"n";"n";"";0
1257;372;0;"2016-02-25 08:08:34";"0";0;"Bar Burrito Downtown (HOLD)";"n";"n";"";0
1258;373;0;"2016-02-25 08:08:34";"0";0;"Ever Afters";"n";"n";"";0
1259;374;0;"2016-02-25 08:08:34";"0";0;"New Mukut Restaurant Indian Cuisine";"n";"n";"";0
1260;375;0;"2016-02-25 08:08:34";"0";0;"Pita Pizza plus Kebob King ( Replaced)";"n";"n";"";0
1261;376;0;"2016-02-25 08:08:34";"0";0;"Bangkok Thai Garden";"n";"n";"";0
1262;0;0;"2016-02-25 08:08:34";"0";0;"Pho by Night - Sweet Art";"n";"n";"";0
1263;0;0;"2016-02-25 08:08:34";"0";0;"Angelo's";"n";"n";"";0
1264;379;0;"2016-02-25 08:08:34";"0";0;"Aunty Rosa (closed)";"n";"n";"";0
