v3_id,restaurant_name,street_address,legacy_v1_id
199,Pho Bo Ga King - Somerset,778 Somerset St W,337
147,Pho Dau Bo Restaurant - Kitchener,685 Fischer Hallman Rd Unit G,280
139,Pizza Bravo,108 boul Lorrain,264
562,Pizza des Hautes Plaines,760 Boulevard des Hautes-Plaines,782
726,Pizza Joanna,229 Boulevard Saint-René Ouest,964
507,Pizza Lovers Hunt Club,800 Hunt Club Road,712
696,Pizza Maisonneuve,574 Boulevard Saint-Joseph,930
829,Pizzalicious,1009 Merivale Rd,1074
716,PizzaRama,253 boul Maloney,953
1015,Poutinerie Québecurds Gatineau,643 Boulevard Saint-René O,1046
789,Poutinerie Québecurds Hull,455 Boulevard Riel,1032
824,Prima Pizza,26 Northside Road,1069
497,Rangoli,2491 St-Joseph Blvd,701
109,Restaurant Chez Gerry,9 rue Therien,228
106,Restaurant Le Choix,139 rue Principale,225
133,Riverside Pizzeria,3679 Riverside Dr,257
1016,Roulas Grecque et Pizza,245 rue de Cannes,173
376,Sachi Sushi,4931 rue Beaubien E,542
745,Sala Thai,2666 Alta Vista Dr,983
83,Season's Pizza,725 Somerset Street West,199
269,Shaan Tandoori,2550 boul Lapinière,415
836,Souvlaki Souvlaki,1216 Bank St,1083
711,Supreme Pizzeria,380 Chemin Vanier,947
595,Supreme Pizzeria,425 Donald St,817
1017,Sushi Express Chambly,886 ch de Chambly,511
596,Sushi Fleury,2481 Fleury Est,818
847,Sushiyana,34 boul mont bleu,1094
84,The Original Georgie's,1661 Carling Ave,200
941,Ting's Kitchen,3-701 Eagleson Road,694
143,Tony's Pizza,7772 Jeanne d'Arc Blvd,275
62,Vanier Pizza & Subs,201 Marier Ave,175
820,Vieux Hull Pizza,574 boul Saint-Joseph,1064
367,Xtreme Pizza,125 Preston St,532
985,Yorgo's - Nepean,1356 Clyde Ave,547








