id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1570,2,,2,2,,,2,,,2,2
1571,2,,2,2,,,2,,,2,2
1572,2,,2,2,,,2,,,2,2
1573,2,,2,2,,,2,,,2,2
1574,2,,2,2,,,2,,,2,2
1575,2,,2,2,,,2,,,2,2
1576,2,,2,2,,,2,,,2,2
1577,2,,2,2,,,2,,,2,2
1578,2,,2,2,,,2,,,2,2
1579,2,,2,2,,,2,,,2,2
1580,2,,2,2,,,2,,,2,2
1581,2,,2,2,,,2,,,2,2
1582,2,,2,2,,,2,,,2,2
1593,2,,2,1,,,2,,,2,2
1594,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1595,2,0000-00-00 00:00:00,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,1,2
1596,2,,2,2,,,2,,,2,2
1597,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1598,2,,2,2,,,2,,,2,2
1603,2,,1,2,,,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,1
1604,2,,2,2,,,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1605,2,,2,2,,,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1608,2,,2,2,,,2,,,2,2
1609,2,,1,2,,,2,,,2,1
1610,2,,2,2,,,2,,,2,2
1611,0,,2,2,,,2,,,1,2
1612,2,,1,2,,,2,,,2,1
1613,2,,2,2,,,2,,,2,1
1614,2,,2,2,,,2,,,2,1
1615,2,,2,2,,,2,,,2,2
1616,2,,2,2,,,2,,,2,1
1617,2,,2,2,,,2,,,2,1
1618,2,,2,2,,,2,,,2,2
1619,2,,2,2,,,2,,,2,1
1620,2,,2,2,,,2,,,2,1
1621,2,,2,2,,,2,,,2,1
1622,2,,2,2,,,2,,,2,2
1623,2,,2,2,,,2,,,2,1
1624,2,,2,2,,,2,,,2,2
1625,2,,1,2,,,2,,,2,1
1626,2,,1,2,,,2,,,2,1
1627,2,,1,2,,,2,,,2,1
1628,2,,1,2,,,2,,,2,1
1629,2,,1,2,,,2,,,2,1
1630,2,,1,2,,,2,,,2,1
1631,2,,1,2,,,2,,,2,1
1632,2,,1,2,,,2,,,2,1
1633,2,,1,2,,,2,,,2,1
1634,2,0000-00-00 00:00:00,2,2,,,2,,,2,2
1635,2,,2,2,,,2,,,1,2
1636,2,,2,2,,,2,,,1,2
