id,restaurant_id,day_start,time_start,day_stop,time_stop,type,enabled
1780,1639,7,11:00:00,7,21:00:00,d,n
1781,1666,1,15:00:00,1,21:00:00,t,n
1782,1666,2,11:00:00,2,21:00:00,t,n
1783,1666,3,11:00:00,3,21:00:00,t,n
1784,1666,4,10:00:00,4,21:00:00,t,n
1785,1666,5,11:00:00,5,21:00:00,t,n
1786,1666,6,11:00:00,6,21:00:00,t,n
1787,1666,1,15:00:00,1,21:00:00,t,n
1788,1666,2,11:00:00,2,21:00:00,t,n
1789,1666,3,11:00:00,3,21:00:00,t,n
1790,1666,4,01:11:00,4,21:00:00,t,n
1791,1666,5,11:00:00,5,21:00:00,t,n
1792,1666,6,11:00:00,6,21:00:00,t,n
1793,1642,2,17:00:00,2,21:00:00,t,n
1794,1642,3,12:00:00,3,14:30:00,t,n
1795,1642,3,17:00:00,3,21:00:00,t,n
1796,1642,4,11:30:00,4,14:30:00,t,n
1797,1642,4,17:00:00,4,21:00:00,t,n
1798,1642,5,12:00:00,5,14:30:00,t,n
1799,1642,5,17:00:00,5,21:30:00,t,n
1800,1642,6,12:00:00,6,14:30:00,t,n
1801,1642,6,17:00:00,6,21:30:00,t,n
1802,1642,7,17:00:00,7,20:30:00,t,n
1803,1642,2,17:00:00,2,21:00:00,d,n
1804,1642,3,12:00:00,3,14:30:00,d,n
1805,1642,3,17:00:00,3,21:00:00,d,n
1806,1642,4,11:30:00,4,14:30:00,d,n
1807,1642,4,17:00:00,4,21:00:00,d,n
1808,1642,5,12:00:00,5,14:30:00,d,n
1809,1642,5,17:00:00,5,21:30:00,d,n
1810,1642,6,12:00:00,6,14:30:00,d,n
1811,1642,6,17:00:00,6,21:30:00,d,n
1812,1642,7,17:00:00,7,20:30:00,d,n
1813,1642,2,17:00:00,2,21:00:00,t,n
1814,1642,3,12:00:00,3,14:30:00,t,n
1815,1642,4,11:30:00,4,14:30:00,t,n
1816,1642,4,17:00:00,4,21:00:00,t,n
1817,1642,5,12:00:00,5,14:30:00,t,n
1818,1642,5,17:00:00,5,21:30:00,t,n
1819,1642,6,12:00:00,6,14:30:00,t,n
1820,1642,6,17:00:00,6,21:30:00,t,n
1821,1642,7,17:00:00,7,20:30:00,t,n
1822,1642,2,17:00:00,2,21:00:00,d,n
1823,1642,3,12:00:00,3,14:30:00,d,n
1824,1642,4,11:30:00,4,14:30:00,d,n
1825,1642,4,17:00:00,4,21:00:00,d,n
1826,1642,5,12:00:00,5,14:30:00,d,n
1827,1642,5,17:00:00,5,21:30:00,d,n
1828,1642,6,12:00:00,6,14:30:00,d,n
1829,1642,6,17:00:00,6,21:30:00,d,n
1830,1642,7,17:00:00,7,20:30:00,d,n
1831,1642,2,17:00:00,2,21:00:00,t,n
1832,1642,3,12:00:00,3,14:30:00,t,n
1833,1642,3,17:00:00,3,21:00:00,t,n
1834,1642,4,11:30:00,4,14:30:00,t,n
1835,1642,4,17:00:00,4,21:00:00,t,n
1836,1642,5,12:00:00,5,14:30:00,t,n
1837,1642,5,17:00:00,5,21:30:00,t,n
1838,1642,6,12:00:00,6,14:30:00,t,n
1839,1642,6,17:00:00,6,21:30:00,t,n
1840,1642,7,17:00:00,7,20:30:00,t,n
1841,1642,2,17:00:00,2,21:00:00,t,n
1842,1642,3,12:00:00,3,14:30:00,t,n
1843,1642,4,11:30:00,4,14:30:00,t,n
1844,1642,4,17:00:00,4,21:00:00,t,n
1845,1642,5,12:00:00,5,14:30:00,t,n
1846,1642,5,17:00:00,5,21:30:00,t,n
1847,1642,6,12:00:00,6,14:30:00,t,n
1848,1642,6,17:00:00,6,21:30:00,t,n
1849,1642,7,17:00:00,7,20:30:00,t,n
1850,1642,2,17:00:00,2,21:00:00,d,n
1851,1642,3,12:00:00,3,14:30:00,d,n
1852,1642,3,17:00:00,3,21:00:00,d,n
1853,1642,4,11:30:00,4,14:30:00,d,n
1854,1642,4,17:00:00,4,21:00:00,d,n
1855,1642,5,12:00:00,5,14:30:00,d,n
1856,1642,5,17:00:00,5,21:30:00,d,n
1857,1642,6,12:00:00,6,14:30:00,d,n
1858,1642,6,17:00:00,6,21:30:00,d,n
1859,1642,7,17:00:00,7,20:30:00,d,n
1860,1642,2,17:00:00,2,21:00:00,t,n
1861,1642,3,12:00:00,3,14:30:00,t,n
1862,1642,3,17:00:00,3,21:00:00,t,n
1863,1642,4,11:30:00,4,14:30:00,t,n
1864,1642,4,17:00:00,4,21:00:00,t,n
1865,1642,5,12:00:00,5,14:30:00,t,n
1866,1642,5,17:00:00,5,21:30:00,t,n
1867,1642,6,12:00:00,6,14:30:00,t,n
1868,1642,6,17:00:00,6,21:30:00,t,n
1869,1642,7,17:00:00,7,20:30:00,t,n
1870,1642,2,16:30:00,2,21:00:00,t,n
1871,1642,3,16:30:00,3,21:00:00,t,n
1872,1642,4,16:30:00,4,21:00:00,t,n
1873,1642,5,16:30:00,5,21:00:00,t,n
1874,1642,6,16:30:00,6,21:00:00,t,n
1875,1642,7,16:30:00,7,21:00:00,t,n
1876,1642,2,16:30:00,2,21:00:00,d,n
1877,1642,3,16:30:00,3,21:00:00,d,n
1878,1642,4,16:30:00,4,21:00:00,d,n
1879,1642,5,16:30:00,5,21:00:00,d,n
1880,1642,6,16:30:00,6,21:00:00,d,n
1881,1642,7,16:30:00,7,21:00:00,d,n
1882,1640,2,11:00:00,2,21:00:00,t,y
1883,1640,3,11:00:00,3,21:00:00,t,y
1884,1640,4,11:00:00,4,21:00:00,t,y
1885,1640,5,11:00:00,5,21:00:00,t,y
1886,1640,6,11:00:00,6,21:00:00,t,y
1887,1640,7,16:00:00,7,21:00:00,t,y
1888,1640,2,11:00:00,2,21:00:00,d,y
1889,1640,3,11:00:00,3,21:00:00,d,y
1890,1640,4,11:00:00,4,21:00:00,d,y
1891,1640,5,11:00:00,5,21:00:00,d,y
1892,1640,6,11:00:00,6,21:00:00,d,y
1893,1640,7,16:00:00,7,21:00:00,d,y
1894,1667,1,12:00:00,2,00:00:00,t,y
1895,1667,2,12:00:00,3,00:00:00,t,y
1896,1667,3,12:00:00,4,00:00:00,t,y
1897,1667,4,12:00:00,5,01:00:00,t,y
1898,1667,5,12:00:00,6,02:30:00,t,y
1899,1667,6,12:00:00,7,02:30:00,t,y
1900,1667,1,12:00:00,2,00:00:00,d,y
1901,1667,2,12:00:00,3,00:00:00,d,y
1902,1667,3,12:00:00,4,00:00:00,d,y
1903,1667,4,12:00:00,5,01:00:00,d,y
1904,1667,5,12:00:00,6,02:30:00,d,y
1905,1667,6,12:00:00,7,02:30:00,d,y
1906,1668,1,11:00:00,1,20:00:00,t,n
1907,1668,2,11:00:00,2,20:00:00,t,n
1908,1668,3,11:00:00,3,20:00:00,t,n
1909,1668,4,11:00:00,4,20:00:00,t,n
1910,1668,5,11:00:00,5,20:00:00,t,n
1911,1668,6,11:00:00,6,20:00:00,t,n
1912,1668,1,11:00:00,1,20:00:00,d,n
1913,1668,2,11:00:00,2,20:00:00,d,n
1914,1668,3,11:00:00,3,20:00:00,d,n
1915,1668,4,11:00:00,4,20:00:00,d,n
